PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
150,Stevenson,D,STE,4,,11.0,5.0,2.0,8.0,-26.0,Pass,Incomplete,0.0,,Ryan Sedgwick,Incomplete,Steven Smothers,,,,Matt Konzelman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:20,680,24,24,0,3,3,3,,,,,,,
151,Stevenson,D,STE,4,,11.0,6.0,3.0,8.0,-26.0,Pass,Sack,-7.0,,Ryan Sedgwick,Sack,,,,,Mario Scotese,Terenc Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,11:20,680,24,24,0,3,3,3,,,,,,,
152,Stevenson,K,STE,4,,,,4.0,15.0,-19.0,Punt Ret,,,,,,,,,,,,,,,,,,,,,,,,Kevin Sheehan,37.0,44.0,,,,,,,,,,,,,,,11:20,680,24,24,0,3,3,3,,,,,,,
153,Stevenson,O,PRIDE,4,,12.0,1.0,0.0,10.0,-44.0,Run,Rush,3.0,Tahir Cruse,,,,,,,Sean Sullivan,Brennen Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:39,519,24,24,0,3,3,3,,,,,,,
154,Stevenson,O,PRIDE,4,,12.0,2.0,2.0,7.0,-47.0,Run,Rush,2.0,Tahir Cruse,,,,,,,Brennen Wright,Jason Scott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:39,519,24,24,0,3,3,3,,,,,,,
155,Stevenson,O,PRIDE,4,,12.0,3.0,3.0,5.0,-49.0,Run,Rush,-1.0,Triston Harris,,,,,,,,,True,Triston Harris,Josh Siegenthal,PRIDE,Matthew Thomas,,,-46.0,,,,,,,,,,,,,,,,,,,,,Punt,08:39,519,24,24,0,3,3,3,,,,,,,
156,Stevenson,K,PRIDE,4,,,,4.0,8.0,-46.0,Punt,Out of bounds,,,,,,,,,,,,,,,,,,,,,,,,19.0,35.0,Out of bounds,,,,,,,,,,,,,,08:39,519,24,24,0,3,3,3,,,,,,,
157,Stevenson,D,STE,4,,12.0,1.0,0.0,10.0,-35.0,Pass,Complete,5.0,,Ryan Sedgwick,Complete,Steven Smothers,,,,Cade Brennan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:32,392,24,24,0,3,3,3,,,,,,,
158,Stevenson,D,STE,4,,12.0,2.0,2.0,15.0,-30.0,Pass,Sack,-9.0,,Ryan Sedgwick,Sack,,,,,Mario Scotese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:32,392,24,24,0,3,3,3,,,,,,,
159,Stevenson,D,STE,4,,12.0,3.0,3.0,24.0,-21.0,Pass,Complete,37.0,,Ryan Sedgwick,Complete,Brandon Booze,,,,Matt Okuniewski,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,06:32,392,24,24,0,3,3,3,,,,,,,
