,quarter,game_clock,drive_num,drive_count,poss,down,dist,yl,terr,play_type,gain_loss,gnls_to_yl,gnls_to_terr,rusher,run_dir,passer,pass_dir,pass_depth,intended,pass_result,intBy,int_terr,int_yl,pbuBy,hurriedBy,kicker,kick_yards,kick_terr,kick_yl,kick_result,fg_dist,fg_result,xp_type,xp_result,retBy,ret_yards,ret_terr,ret_yl,tackler1,tackler2,fumble_num,fumbleBy,recoveredBy,recovery_team,recov_terr,recov_yl,presnap_pen,penalty,penOn,pen_team,pen_yards,touchdown,no_play,timeout,away_points_on_play,home_points_on_play,away_points,home_points
57,1,06:37,7,10,LVC,1,10,28,FMC,Run,1.0,27,FMC,Dion Bryant,R,,,,,,,,,,,,,,,,,,,,,,,,Justin Gerhart,Jacob Hille,,,,,,,,,,,,,,,0,0,3.0,3.0
58,1,06:37,7,11,LVC,2,9,27,FMC,Pass,4.0,23,FMC,,,Braden Bohannon,L,,Rylee Stahl,Complete,,,,,,,,,,,,,,,,,,,Matt Scully,,,,,,,,,,,,,,,,0,0,3.0,3.0
59,1,06:37,7,12,LVC,3,5,23,FMC,Pass,0.0,,,,,Braden Bohannon,M,,,Incomplete,,,,Tom Papa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3.0,3.0
60,1,06:37,7,13,LVC,4,5,23,FMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3.0,3.0
61,1,06:37,7,14,LVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3.0,3.0
62,1,01:59,8,0,FMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3.0,3.0
63,1,01:59,8,1,FMC,1,10,-23,FMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3.0,3.0
64,1,01:59,8,2,FMC,1,10,-23,FMC,Run,1.0,24,FMC,Mitch Wagner,M,,,,,,,,,,,,,,,,,,,,,,,,Jake Marcus,Shawn Fester,,,,,,,,,,,,,,,0,0,3.0,3.0
65,1,01:59,8,3,FMC,2,9,-24,FMC,Run,4.0,28,FMC,Mitch Wagner,M,,,,,,,,,,,,,,,,,,,,,,,,Luke Pollock,Shawn Fester,,,,,,,,,,,,,,,0,0,3.0,3.0
66,1,00:00,8,4,FMC,3,5,-28,FMC,Pass,8.0,36,FMC,,,Ty Tremba,M,,Trey Glass,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3.0,3.0
67,2,00:00,9,0,FMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3.0,3.0
68,2,15:00,9,1,FMC,1,10,-36,FMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3.0,3.0
69,2,15:00,9,2,FMC,1,10,-36,FMC,Run,2.0,38,FMC,Trey Glass,R,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,Trey Glass,Trey Glass,FMC,FMC,34,,,,,,,,,0,0,3.0,3.0
70,2,15:00,9,3,FMC,2,12,-34,FMC,Pass,0.0,,,,,Ty Tremba,M,,Jack O'Hearen,Incomplete,,,,Jacob Horton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3.0,3.0
71,2,14:01,9,4,FMC,3,12,-34,FMC,Pass,,,,,,Ty Tremba,M,,,Intercepted,Brody Robinson,FMC,42,,,,,,,,,,,,Brody Robinson,42,FMC,0,,,,,,,,,,,,,,1.0,,,0,6,3.0,3.0
72,2,14:01,9,5,FMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3.0,9.0
73,2,14:01,10,0,LVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0,0,3.0,9.0
74,2,14:01,10,1,LVC,1,10,20,FMC,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3.0,9.0
75,2,14:01,10,2,LVC,1,10,20,FMC,Extra Pt.,,,,,,,,,,,,,,,,Tim Kissinger,,,,,,,Kick,No Good,,,,,,,,,,,,,,,,,,,,,0,0,3.0,9.0
76,2,14:01,10,3,LVC,1,35,-35,LVC,Kickoff,,,,,,,,,,,,,,,,Brian Dym,50,FMC,15,Return,,,,,Chris Albero,13,FMC,28,Alex Brown,Ryan Fink,,,,,,,,,,,,,,,0,0,3.0,9.0
77,2,14:01,10,4,LVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3.0,9.0
78,2,13:54,11,0,FMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3.0,9.0
79,2,13:54,11,1,FMC,1,10,-28,FMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3.0,9.0
80,2,13:54,11,2,FMC,1,10,-28,FMC,Run,4.0,32,FMC,Ty Tremba,M,,,,,,,,,,,,,,,,,,,,,,,,Noah Caldani,Brody Robinson,,,,,,,,,,,,,,,0,0,3.0,9.0
81,2,13:54,11,3,FMC,2,6,-32,FMC,Pass,0.0,,,,,Ty Tremba,M,,Jack Sutton,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3.0,9.0
