PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
164,Misericordia,K,WUFB,4,,,,1.0,-20.0,-20.0,KO,Return,,,,,,,,,B. Doron,,,,,,,Carlos Artson,18,42.0,A. Orlando,56.0,24.0,Return,,,,,,,,,,,,,,,,,,03:02,182,35,15,20,2,2,3,,,,,,,
165,Misericordia,D,MIFB,4,,13.0,1.0,0.0,10.0,-42.0,Pass,Incomplete,0.0,,Dallas Engel,Incomplete,Michael Gawlik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02:56,176,15,35,20,2,3,2,,,,,,,
166,Misericordia,D,MIFB,4,,13.0,2.0,2.0,10.0,-42.0,Pass,Incomplete,0.0,,Dallas Engel,Incomplete,,,,,N. Gazzola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02:56,176,15,35,20,2,3,2,,,,,,,
167,Misericordia,D,MIFB,4,,13.0,3.0,3.0,10.0,-42.0,Run,Rush,1.0,Michael Gawlik,,,,,,,A. Malave',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,02:56,176,15,35,20,2,3,2,,,,,,,
168,Misericordia,,MIFB,4,,,,4.0,9.0,-43.0,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Misericordia,,,,,,,02:56,176,15,35,20,2,3,2,,,,,,,
169,Misericordia,K,MIFB,4,,,,4.0,9.0,-43.0,Punt Ret,Return,,,,,,,,,Ian Rogers,,,,,,,J. Lowe,2,18.0,,,,,To Weiskircher,41.0,16.0,Return,,,,,,,,,,,,,,02:05,125,15,35,20,2,2,2,,,,,,,
170,Misericordia,O,WUFB,4,,13.0,1.0,0.0,10.0,-18.0,Pass,Complete,15.0,,J. Tabora,Complete,C. Pelzer,,,,Kobe Martin,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,01:55,115,35,15,20,2,2,2,,,,,,,
171,Misericordia,O,WUFB,4,,13.0,2.0,1.0,10.0,-33.0,Run,Rush,13.0,E. Jules,,,,,,,Matthew Carter,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,01:55,115,35,15,20,2,2,2,,,,,,,
172,Misericordia,O,WUFB,4,,13.0,3.0,1.0,10.0,-46.0,Run,Rush,-5.0,J. Tabora,,,,,,,Matthew Carter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01:55,115,35,15,20,2,2,2,,,,,,,
173,Misericordia,O,WUFB,4,,13.0,4.0,2.0,15.0,-41.0,Run,Rush,-3.0,Team rush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Game,01:55,115,35,15,20,2,2,2,,,,,,,
