School,Nickname,Location,Conference,Region,Surface,Enrollment,Match,2021 Link,2022 Link
Lake Forest,Foresters,"Lake Forest, IL",MWC,5,Turf,1509,Lake Forest,http://www.goforesters.com//sports/fball/2021-22/schedule,http://www.goforesters.com//sports/fball/2022-23/schedule
Lakeland,Muskies,"Sheboygan, WI",NACC,5,Turf,794,Lakeland University,https://lakelandmuskies.com/sports/football/schedule/2021,https://lakelandmuskies.com/sports/football/schedule/2022
Lawrence,Vikings,"Appleton, WI",MWC,5,Turf,1397,Lawrence University,http://vikings.lawrence.edu/sports/football/schedule/2021,http://vikings.lawrence.edu/sports/football/schedule/2022
Lebanon Valley,Flying Dutchmen,"Annville, PA",MAC,1,Turf,1633,Lebanon Valley,http://www.godutchmen.com//sports/football/schedule/2021,http://www.godutchmen.com//sports/football/schedule/2022
Lewis and Clark,Pioneers,"Portland, OR",NWC,6,Turf,1887,Lewis & Clark,http://www.lcpioneers.com/sports/football/schedule/2021,http://www.lcpioneers.com/sports/football/schedule/2022
Linfield,Wildcats,"McMinnville, OR",NWC,6,Turf,1363,Linfield,https://golinfieldwildcats.com//sports/football/schedule/2021,https://golinfieldwildcats.com//sports/football/schedule/2022
Loras,Duhawks,"Dubuque, IA",ARC,5,Turf,1260,Loras College,http://www.duhawks.com//sports/football/schedule/2021,http://www.duhawks.com//sports/football/schedule/2022
Luther,Norse,"Decorah, IA",ARC,5,Turf,1913,Luther College,https://luthernorse.com//sports/football/schedule/2021,https://luthernorse.com//sports/football/schedule/2022
Lycoming,Warriors,"Williamsport, PA",MAC,1,Turf,1122,Lycoming,http://athletics.lycoming.edu/sports/football/schedule/2021,http://athletics.lycoming.edu/sports/football/schedule/2022
Macalester,Scots,"St. Paul, MN",MIAC,6,Turf,2062,Macalester,http://athletics.macalester.edu/sports/football/schedule/2021,http://athletics.macalester.edu/sports/football/schedule/2022
Manchester,Spartans,"N. Manchester, IN",HCAC,4,Turf,1060,Manchester,http://muspartans.com//sports/football/schedule/2021,http://muspartans.com//sports/football/schedule/2022
Marietta,Pioneers,"Marietta, OH",OAC,4,Turf,1052,Marietta College,http://pioneers.marietta.edu//sports/football/schedule/2021,http://pioneers.marietta.edu//sports/football/schedule/2022
Martin Luther,Knights,"New Ulm, MN",UMAC,6,Grass,705,Martin Luther,http://mlcknights.com//sports/football/schedule/2021,http://mlcknights.com//sports/football/schedule/2022
Mary Hardin-Baylor,Crusaders,"Belton, TX",ASC,3,Turf,3112,Mary Hardin-Baylor,http://cruathletics.com/sports/football/schedule/2021,http://cruathletics.com/sports/football/schedule/2022
Maryville (Tenn.),Scots,"Maryville, TN",USAC,3,Grass,1061,Maryville College,http://mcscots.com//sports/football/schedule/2021,http://mcscots.com//sports/football/schedule/2022
Mass-Dartmouth,Corsairs,"North Dartmouth, MA",MASCAC,1,Turf,5439,Mass.-Dartmouth,http://www.corsairathletics.com/sports/football/schedule/2021,http://www.corsairathletics.com/sports/football/schedule/2022
Massachusetts Maritime,Buccaneers,"Buzzards Bay, MA",MASCAC,1,Turf,1616,Mass. Maritime,http://www.mmabucs.com/sports/fball/2021-22/schedule,http://www.mmabucs.com/sports/fball/2022-23/schedule
McDaniel,Green Terror,"Westminster, MD",CC,2,Turf,1649,McDaniel,http://www.mcdanielathletics.com/sports/football/schedule/2021,http://www.mcdanielathletics.com/sports/football/schedule/2022
