School,Match,J,Link
Case Western Reserve,,0.727272727,
Castleton,Castleton,1.0,http://www.castletonsports.com//sports/football/schedule/2021
Catholic,Catholic,1.0,http://www.catholicathletics.com/sports/fball/2021-22/schedule
Central,,0.875,
Centre,Centre,1.0,http://centrecolonels.com/sports/football/schedule/2021
Chapman,,0.5,
Chicago,,0.555555556,
Christopher Newport,Chris. Newport,1.0,http://www.cnusports.com//sports/football/schedule/2021
Claremont-Mudd-Scripps,,0.666666667,
Coast Guard,Coast Guard,1.0,http://www.uscgasports.com//sports/fball/2021-22/schedule
Coe,Coe College,0.6,http://www.coeathletics.com/sports/football/schedule/2021
Colby,,0.571428571,
Concordia (Wis.),,0.666666667,
Concordia-Chicago,Concordia Chicago,1.0,http://www.cucougars.com/sports/football/schedule/2021
Concordia-Moorhead,,0.692307692,
Cornell,,0.666666667,
Cortland,Cortland,1.0,http://www.cortlandreddragons.com//sports/football/schedule/2021
Crown,,0.666666667,
Curry,Curry,1.0,http://www.curryathletics.com/sports/fball/2021-22/schedule
DePauw,DePauw,1.0,http://depauwtigers.com/sports/football/schedule/2021
Dean,,0.5,
Defiance,,0.454545455,
Delaware Valley,Delaware Valley,0.75,http://athletics.delval.edu//sports/football/schedule/2021
Denison,,0.555555556,
Dickinson,Dickinson,1.0,http://www.dickinsonathletics.com/sports/football/schedule/2021
Dubuque,"Dubuque, Univ. of",0.571428571,https://udspartans.com//sports/football/schedule/2021
East Texas Baptist,East Tex. Baptist,1.0,http://www.goetbutigers.com//sports/football/schedule/2021
Elmhurst,Elmhurst,1.0,http://www.elmhurstbluejays.com/sports/football/schedule/2021
Endicott,Endicott,1.0,http://ecgulls.com/sports/fball/2021-22/schedule
Eureka,Eureka,1.0,http://eurekareddevils.com/sports/fball/2021-22/schedule
FDU-Florham,FDU-Florham,1.0,http://fdudevils.com//sports/football/schedule/2021
Ferrum,Ferrum,1.0,http://www.ferrumpanthers.com//sports/football/schedule/2021
Finlandia,Finlandia,1.0,http://www.fulions.com/sports/football/schedule/2021
Fitchburg State,Fitchburg St.,0.833333333,http://www.fscfalcons.com//sports/fball/2021-22/schedule
Framingham State,Framingham St.,0.909090909,http://www.fsurams.com/sports/fball/2021-22/schedule
Franklin,Franklin,1.0,http://www.franklingrizzlies.com//sports/fball/2021-22/schedule
Franklin and Marshall,Franklin & Marshall,0.909090909,http://www.godiplomats.com/sports/m-footbl/2021-22/schedule
Gallaudet,,0.545454545,
Geneva,,0.5,
George Fox,,0.4,
Gettysburg,Gettysburg,1.0,http://www.gettysburgsports.com//sports/football/schedule/2021
Greensboro,Greensboro,1.0,http://www.greensborocollegesports.com//sports/football/schedule/2021
Greenville,,0.5,
Grinnell,,0.6,
Grove City,,0.5,
Guilford,Guilford,1.0,http://www.guilfordquakers.com/sports/football/schedule/2021
Gustavus Adolphus,,0.461538462,
Hamilton,,0.666666667,
Hamline,Hamline,1.0,http://hamlineathletics.com//sports/football/schedule/2021
Hampden-Sydney,Hampden-Sydney,1.0,http://hscathletics.com/sports/football/schedule/2021
Hanover,,0.6,
Hardin-Simmons,Hardin-Simmons,1.0,http://www.hsuathletics.com//sports/m-footbl/2021-22/schedule
Hartwick,,0.5,
Heidelberg,Heidelberg,1.0,http://www.bergathletics.com//sports/football/schedule/2021
Hendrix,Hendrix,1.0,http://www.hendrixwarriors.com/sports/football/schedule/2021
Hilbert,,0.461538462,
Hiram,Hiram,1.0,http://www.hiramterriers.com//sports/football/schedule/2021
Hobart,Hobart,1.0,http://www.hwsathletics.com//sports/football/schedule/2021
Hope,,0.333333333,
Howard Payne,Howard Payne,1.0,http://www.hpusports.com/sports/football/schedule/2021
Huntingdon,Huntingdon,1.0,http://www.huntingdonhawks.com/sports/fball/2021-22/schedule
Husson,,0.833333333,
Illinois College,,0.8,
Illinois Wesleyan,Ill. Wesleyan,0.818181818,https://www.iwusports.com/sports/football/schedule/2021
Ithaca,,0.5,
John Carroll,John Carroll,1.0,http://www.jcusports.com//sports/football/schedule/2021
Johns Hopkins,Johns Hopkins,1.0,http://www.hopkinssports.com//sports/football/schedule/2021
Juniata,,0.454545455,
Kalamazoo,,0.444444444,
Kean,,0.5,
Kenyon,,0.5,
Keystone,Keystone College,0.7,http://www.gokcgiants.com/sports/football/schedule/2021
King's,King's College,0.428571429,http://www.kingscollegeathletics.com//sports/football/schedule/2021
Knox,,0.375,
La Verne,,0.571428571,
LaGrange,LaGrange,1.0,http://www.lagrangepanthers.com/sports/fball/2021-22/schedule
Lake Forest,Lake Forest,1.0,http://www.goforesters.com//sports/fball/2021-22/schedule
Lakeland,,0.5,
Lawrence,,0.777777778,
Lebanon Valley,Lebanon Valley,1.0,http://www.godutchmen.com//sports/football/schedule/2021
Lewis and Clark,Lewis & Clark,0.833333333,http://www.lcpioneers.com/sports/football/schedule/2021
Linfield,Linfield,1.0,https://golinfieldwildcats.com//sports/football/schedule/2021
Loras,Loras College,0.555555556,http://www.duhawks.com//sports/football/schedule/2021
Luther,,0.555555556,
Lycoming,Lycoming,1.0,https://lycomingathletics.com/sports/football/schedule/2021
MIT,MIT,1.0,http://www.mitathletics.com/sports/football/schedule/2021
Macalester,,0.555555556,
Manchester,,0.818181818,
Marietta,,0.75,
Martin Luther,Martin Luther,1.0,http://mlcknights.com//sports/football/schedule/2021
Mary Hardin-Baylor,Mary Hardin-Baylor,1.0,http://cruathletics.com/sports/football/schedule/2021
Maryville (Tenn.),Maryville College,0.615384615,http://mcscots.com//sports/football/schedule/2021
Mass-Dartmouth,,0.8,
Massachusetts Maritime,Mass. Maritime,0.692307692,http://www.mmabucs.com/sports/fball/2021-22/schedule
McDaniel,McDaniel,1.0,http://www.mcdanielathletics.com/sports/football/schedule/2021
McMurry,McMurry,1.0,http://www.mcmurrysports.com//sports/football/schedule/2021
Merchant Marine,Merchant Marine,1.0,http://www.usmmasports.com//sports/football/schedule/2021
Methodist,Methodist,1.0,http://www.mumonarchs.com//sports/football/schedule/2021
Middlebury,,0.461538462,
Millikin,,0.5,
Millsaps,Millsaps,1.0,http://www.gomajors.com/sports/football/schedule/2021
Minnesota-Morris,Minnesota Morris,1.0,http://morriscougars.com/sports/football/schedule/2021
Misericordia,Misericordia,0.636363636,https://athletics.misericordia.edu/sports/football/schedule/2021
Monmouth,,1.0,
Montclair State,,0.75,
Moravian,Moravian University,0.583333333,http://moraviansports.com//sports/fball/2021-22/schedule
Morrisville State,,0.75,
Mount St. Joseph,Mt. St. Joseph,0.818181818,http://www.msjsports.com//sports/fball/2021-22/schedule
Mount Union,,0.625,
Muhlenberg,Muhlenberg,1.0,http://muhlenbergsports.com//sports/football/schedule/2021
Muskingum,Muskingum,1.0,http://fightingmuskies.com//sports/fball/2021-22/schedule
N.C. Wesleyan,N.C. Wesleyan,1.0,http://www.ncwcsports.com/sports/fball/2021-22/schedule
Nebraska Wesleyan,Neb. Wesleyan,0.818181818,http://www.nwusports.com//sports/football/schedule/2021
Nichols,,1.0,
North Central (Ill.),North Central,0.909090909,http://northcentralcardinals.com//sports/football/schedule/2021
North Park,,0.777777778,
Northwestern (Minn.),Northwestern (MN),0.909090909,http://unweagles.com/sports/football/schedule/2021
Norwich,Norwich,1.0,http://www.norwichathletics.com//sports/football/schedule/2021
Oberlin,Oberlin College,0.7,http://www.goyeo.com//sports/football/schedule/2021
Ohio Northern,Ohio Northern,1.0,http://denisonbigred.com//sports/football/schedule/2021
Ohio Wesleyan,Ohio Wesleyan,1.0,http://www.battlingbishops.com//sports/football/schedule/2021
Olivet,Olivet,1.0,http://www.olivetcomets.com/sports/fball/2021-22/schedule
Otterbein,Otterbein University,0.636363636,http://www.otterbeincardinals.com//sports/football/schedule/2021
Pacific,Pacific University,0.5,http://www.goboxers.com//sports/football/schedule/2021
Pacific Lutheran,Pacific Lutheran,1.0,http://golutes.com/sports/football/schedule/2021
Plymouth State,,0.615384615,
Pomona-Pitzer,,0.666666667,
Puget Sound,Puget Sound,1.0,http://www.loggerathletics.com/sports/football/schedule/2021
RPI,Rensselaer,0.75,http://www.rpiathletics.com//sports/football/schedule/2021
Randolph-Macon,,0.538461538,
Redlands,,0.75,
Rhodes,Rhodes,1.0,http://www.rhodeslynx.com//sports/football/schedule/2021
Ripon,,0.444444444,
Rochester,Rochester,1.0,http://www.uofrathletics.com//sports/football/schedule/2021
Rockford,Rockford University,0.4,http://goregents.com/sports/football/schedule/2021
Rose-Hulman,,0.583333333,
Rowan,Rowan,1.0,http://www.rowanathletics.com//sports/football/schedule/2021
SUNY-Maritime,Maritime College,0.466666667,http://maritimeathletics.com//sports/football/schedule/2021
Salisbury,Salisbury,1.0,http://www.suseagulls.com/sports/football/schedule/2021
Salve Regina,Salve Regina,1.0,http://www.salveathletics.com/sports/fball/2021-22/schedule
Sewanee,Sewanee,1.0,http://www.sewaneetigers.com//sports/football/schedule/2021
Shenandoah,Shenandoah Hornets,0.636363636,http://www.suhornets.com/sports/football/schedule/2021
Simpson,Simpson,1.0,http://simpsonathletics.com/sports/fball/2021-22/schedule
Southern Virginia,,0.846153846,
Southwestern,Southwestern,1.0,http://southwesternpirates.com/sports/m-footbl/2021-22/schedule
Springfield,Springfield,1.0,http://springfieldcollegepride.com/sports/fball/2021-22/schedule
St. John Fisher,,0.642857143,
St. John's,Saint John's Univ,0.7,
St. Lawrence,St. Lawrence,1.0,http://saintsathletics.com/sports/football/schedule/2021
St. Norbert,,0.6,
St. Olaf,,0.571428571,
St. Scholastica,St. Scholastica,1.0,http://csssaints.com/sports/football/schedule/2021
St. Vincent,,0.5,
Stevenson,Stevenson,1.0,http://gomustangsports.com/sports/fball/2021-22/schedule
Sul Ross State,Sul Ross St.,0.777777778,http://www.srlobos.com//sports/football/schedule/2021
Susquehanna,Susquehanna,1.0,http://suriverhawks.com/sports/football/schedule/2021
TCNJ,TCNJ,1.0,http://www.tcnjathletics.com//sports/football/schedule/2021
Texas Lutheran,Texas Lutheran,1.0,http://www.tlubulldogs.com/sports/fball/2021-22/schedule
Thiel,Thiel,1.0,http://www.thielathletics.com//sports/football/schedule/2021
Trine,,0.5,
Trinity (Conn.),,0.545454545,
Trinity (Texas),Trinity University,0.666666667,http://www.trinitytigers.com/sports/fball/2021-22/schedule
Tufts,,0.375,
UW-Eau Claire,UW-Eau Claire,1.0,http://blugolds.com/sports/fball/2021-22/schedule
UW-La Crosse,UW-La Crosse,1.0,http://www.uwlathletics.com//sports/football/schedule/2021
UW-Oshkosh,,0.375,
UW-Platteville,Wis.-Platteville,0.8,https://letsgopioneers.com/sports/fball/2021-22/schedule
UW-River Falls,UW-River Falls,1.0,http://www.uwrfsports.com//sports/football/schedule/2021
UW-Stevens Point,,0.642857143,
UW-Stout,,0.454545455,
UW-Whitewater,Wis.-Whitewater,0.8,http://www.uwwsports.com/sports/football/schedule/2021
Union,Union (NY),0.666666667,http://www.unionathletics.com//sports/football/schedule/2021
University of New England,,0.571428571,
Ursinus,Ursinus,1.0,http://www.ursinusathletics.com/sports/football/schedule/2021
Utica,Utica College,0.571428571,http://www.ucpioneers.com/sports/football/schedule/2021
WPI,,0.5,
Wabash,,0.625,
Wartburg,,0.5,
Washington U.,,0.9,
Washington and Jefferson,Wash. & Jeff.,0.6,http://www.gopresidents.com//sports/football/schedule/2021
Washington and Lee,Wash. & Lee,0.692307692,http://www.generalssports.com/sports/football/schedule/2021
Waynesburg,Waynesburg,1.0,http://www.waynesburgsports.com//sports/football/schedule/2021
Wesleyan,,0.875,
Western Connecticut,,0.666666667,
Western New England,Western New Eng.,0.769230769,http://wnegoldenbears.com/sports/fball/2021-22/schedule
Westfield State,Westfield St.,0.9,http://www.westfieldstateowls.com//sports/fball/2021-22/schedule
Westminster (Mo.),,0.818181818,
Westminster (Pa.),,0.666666667,
Wheaton (Ill.),,0.666666667,
Whittier,,0.625,
Whitworth,Whitworth,1.0,http://www.whitworthpirates.com/sports/football/schedule/2021
Widener,Widener,1.0,http://www.widenerpride.com//sports/football/schedule/2021
Wilkes,Wilkes University,0.571428571,http://www.gowilkesu.com//sports/football/schedule/2021
Willamette,Willamette,1.0,http://wubearcats.com//sports/fball/2021-22/schedule
William Paterson,William Paterson,1.0,http://www.wpupioneers.com/sports/football/schedule/2021
Williams,,0.555555556,
Wilmington,Wilmington,1.0,http://www.wilmingtonquakers.com/sports/fball/2021-22/schedule
Wisconsin Lutheran,Wisconsin Lutheran,1.0,http://wlcsports.com//sports/football/schedule/2021
Wittenberg,Wittenberg,1.0,http://www.wittenbergtigers.com/sports/fball/2021-22/schedule
Wooster,Wooster,1.0,http://www.woosterathletics.com/sports/fball/2021-22/schedule
Worcester State,,0.636363636,
