,School,Nickname,Location,Conference,Region,Surface,Enrollment,Match,2021 Link,2022 Link,url_root
134,Merchant Marine,Mariners,"Kings Point, NY",NEWMAC,1,Turf,1007,Merchant Marine,http://www.usmmasports.com//sports/football/schedule/2021,http://www.usmmasports.com//sports/football/schedule/2022,usmmasports.com
135,Methodist,Monarchs,"Fayetteville, NC",USAC,3,Grass,1974,Methodist,http://www.mumonarchs.com//sports/football/schedule/2021,http://www.mumonarchs.com//sports/football/schedule/2022,mumonarchs.com
136,Middlebury,Panthers,"Middlebury, VT",NESCAC,1,Turf,2541,Middlebury,http://athletics.middlebury.edu/sports/football/schedule/2021,http://athletics.middlebury.edu/sports/football/schedule/2022,athletics.middlebury.edu
137,Millikin,Big Blue,"Decatur, IL",CCIW,5,Turf,1869,MILLIKIN,https://athletics.millikin.edu/sports/football/schedule/2021,https://athletics.millikin.edu/sports/football/schedule/2022,athletics.millikin.edu
138,Millsaps,Majors,"Jackson, MS",SAA,3,Turf,768,Millsaps,http://www.gomajors.com/sports/football/schedule/2021,http://www.gomajors.com/sports/football/schedule/2022,gomajors.com
139,Minnesota-Morris,Cougars,"Morris, MN",UMAC,6,Turf,1349,Minnesota Morris,http://morriscougars.com/sports/football/schedule/2021,http://morriscougars.com/sports/football/schedule/2022,morriscougars.com
140,Misericordia,Cougars,"Dallas, PA",MAC,1,Turf,1584,Misericordia,http://athletics.misericordia.edu/sports/football/schedule/2021,http://athletics.misericordia.edu/sports/football/schedule/2022,athletics.misericordia.edu
141,MIT,Engineers,"Cambridge, MA",NEWMAC,1,Turf,4487,MIT,http://www.mitathletics.com/sports/football/schedule/2021,http://www.mitathletics.com/sports/football/schedule/2022,mitathletics.com
142,Monmouth,Scots,"Monmouth, IL",MWC,5,Turf,897,Monmouth (IL),http://monmouthscots.com//sports/football/schedule/2021,http://monmouthscots.com//sports/football/schedule/2022,monmouthscots.com
143,Montclair State,Red Hawks,"Upper Montclair, NJ",NJAC,2,Turf,14745,Montclair State,http://www.montclairathletics.com/sports/football/schedule/2021,http://www.montclairathletics.com/sports/football/schedule/2022,montclairathletics.com
144,Moravian,Greyhounds,"Bethlehem, PA",CC,2,Turf,1912,Moravian University,http://moraviansports.com//sports/fball/2021-22/schedule,http://moraviansports.com//sports/fball/2022-23/schedule,moraviansports.com
145,Morrisville State,Mustangs,"Morrisville, NY",E8,2,Turf,2283,Morrisville St.,https://morrisvillemustangs.com/sports/football/schedule/2021,https://morrisvillemustangs.com/sports/football/schedule/2022,morrisvillemustangs.com
146,Mount St. Joseph,Lions,"Cincinnati, OH",HCAC,4,Turf,1006,Mt. St. Joseph,http://www.msjsports.com//sports/fball/2021-22/schedule,http://www.msjsports.com//sports/fball/2022-23/schedule,msjsports.com
147,Mount Union,Purple Raiders,"Alliance, OH",OAC,4,Turf,1978,Mount Union,http://athletics.mountunion.edu/sports/football/schedule/2021,http://athletics.mountunion.edu/sports/football/schedule/2022,athletics.mountunion.edu
148,Muhlenberg,Mules,"Allentown, PA",CC,2,Turf,2190,Muhlenberg,http://muhlenbergsports.com//sports/football/schedule/2021,http://muhlenbergsports.com//sports/football/schedule/2022,muhlenbergsports.com
149,Muskingum,Muskies,"New Concord, OH",OAC,4,Turf,1355,Muskingum,http://fightingmuskies.com//sports/fball/2021-22/schedule,http://fightingmuskies.com//sports/fball/2022-23/schedule,fightingmuskies.com
150,N.C. Wesleyan,Battling Bishops,"Rocky Mount, NC",USAC,3,Grass,1600,N.C. Wesleyan,http://www.ncwcsports.com/sports/fball/2021-22/schedule,http://www.ncwcsports.com/sports/fball/2022-23/schedule,ncwcsports.com
151,Nebraska Wesleyan,Prairie Wolves,"Lincoln, NE",ARC,5,Turf,1692,Neb. Wesleyan,http://www.nwusports.com//sports/football/schedule/2021,http://www.nwusports.com//sports/football/schedule/2022,nwusports.com
152,Nichols,Bison,"Dudley, MA",CCC,1,Turf,1217,Nichols,http://www.nicholsathletics.com//sports/football/schedule/2021,http://www.nicholsathletics.com//sports/football/schedule/2022,nicholsathletics.com
153,North Central (Ill.),Cardinals,"Naperville, IL",CCIW,5,Turf,2530,North Central,http://northcentralcardinals.com//sports/football/schedule/2021,http://northcentralcardinals.com//sports/football/schedule/2022,northcentralcardinals.com
154,North Park,Vikings,"Chicago, IL",CCIW,5,Turf,1723,North Park,http://athletics.northpark.edu//sports/football/schedule/2021,http://athletics.northpark.edu//sports/football/schedule/2022,athletics.northpark.edu
155,Northwestern (Minn.),Eagles,"Roseville, MN",UMAC,6,Turf,1603,Northwestern (MN),http://unweagles.com/sports/football/schedule/2021,http://unweagles.com/sports/football/schedule/2022,unweagles.com
156,Norwich,Cadets,"Northfield, VT",NEWMAC,1,Turf,2602,Norwich,http://www.norwichathletics.com//sports/football/schedule/2021,http://www.norwichathletics.com//sports/football/schedule/2022,norwichathletics.com
157,Oberlin,Yeomen,"Oberlin, OH",NCAC,4,Turf,2882,Oberlin College,http://www.goyeo.com//sports/football/schedule/2021,http://www.goyeo.com//sports/football/schedule/2022,goyeo.com
158,Ohio Northern,Polar Bears,"Ada, OH",OAC,4,Turf,2078,Ohio Northern,https://www.onusports.com/sports/fball/2021-22/schedule,https://www.onusports.com/sports/fball/2022-23/schedule,onusports.com
159,Ohio Wesleyan,Battling Bishops,"Delaware, OH",NCAC,4,Turf,1485,Ohio Wesleyan,http://www.battlingbishops.com//sports/football/schedule/2021,http://www.battlingbishops.com//sports/football/schedule/2022,battlingbishops.com
160,Olivet,Comets,"Olivet, MI",MIAA,4,Turf,959,Olivet,http://www.olivetcomets.com/sports/fball/2021-22/schedule,http://www.olivetcomets.com/sports/fball/2022-23/schedule,olivetcomets.com
161,Otterbein,Cardinals,"Westerville, OH",OAC,4,Turf,2307,Otterbein University,http://www.otterbeincardinals.com//sports/football/schedule/2021,http://www.otterbeincardinals.com//sports/football/schedule/2022,otterbeincardinals.com
162,Pacific Lutheran,Lutes,"Tacoma, WA",NWC,6,Turf,2623,Pacific Lutheran,http://golutes.com/sports/football/schedule/2021,http://golutes.com/sports/football/schedule/2022,golutes.com
163,Pacific,Boxers,"Forest Grove, OR",NWC,6,Turf,1724,Pacific University,http://www.goboxers.com//sports/football/schedule/2021,http://www.goboxers.com//sports/football/schedule/2022,goboxers.com
164,Plymouth State,Panthers,"Plymouth, NH",MASCAC,1,Turf,3659,Plymouth State,http://athletics.plymouth.edu/sports/football/schedule/2021,http://athletics.plymouth.edu/sports/football/schedule/2022,athletics.plymouth.edu
165,Pomona-Pitzer,Sagehens,"Claremont, CA",SCIAC,6,Grass,2515,Pomona-Pitzer,http://www.pe.pomona.edu/sports/fball/2021-22/schedule,http://www.pe.pomona.edu/sports/fball/2022-23/schedule,pe.pomona.edu
166,Puget Sound,Loggers,"Tacoma, WA",NWC,6,Grass,2271,Puget Sound,http://www.loggerathletics.com/sports/football/schedule/2021,http://www.loggerathletics.com/sports/football/schedule/2022,loggerathletics.com
167,Randolph-Macon,Yellow Jackets,"Ashland, VA",ODAC,3,Turf,1513,Randolph-Macon,https://rmcathletics.com/sports/fball/2021-22/schedule,https://rmcathletics.com/sports/fball/2022-23/schedule,rmcathletics.com
168,Redlands,Bulldogs,"Redlands, CA",SCIAC,6,Grass,2642,Redlands,https://www.goredlands.com/sports/fball/2021-22/schedule,https://www.goredlands.com/sports/fball/2022-23/schedule,goredlands.com
169,Rhodes,Lynx,"Memphis, TN",SAA,3,Turf,1939,Rhodes,http://www.rhodeslynx.com//sports/football/schedule/2021,http://www.rhodeslynx.com//sports/football/schedule/2022,rhodeslynx.com
170,Ripon,Red Hawks,"Ripon, WI",MWC,5,Turf,765,Ripon College,https://riponredhawks.com//sports/football/schedule/2021,https://riponredhawks.com//sports/football/schedule/2022,riponredhawks.com
171,Rochester,Yellowjackets,"Rochester, NY",LL,2,Turf,6371,Rochester,http://www.uofrathletics.com//sports/football/schedule/2021,http://www.uofrathletics.com//sports/football/schedule/2022,uofrathletics.com
172,Rockford,Regents,"Rockford, IL",NACC,5,Grass,891,Rockford University,http://goregents.com/sports/football/schedule/2021,http://goregents.com/sports/football/schedule/2022,goregents.com
173,Rose-Hulman,Engineers,"Terre Haute, IN",HCAC,4,Turf,1975,Rose-Hulman,http://athletics.rose-hulman.edu//sports/football/schedule/2021,http://athletics.rose-hulman.edu//sports/football/schedule/2022,athletics.rose-hulman.edu
174,Rowan,Profs,"Glassboro, NJ",NJAC,2,Turf,14049,Rowan,http://www.rowanathletics.com//sports/football/schedule/2021,http://www.rowanathletics.com//sports/football/schedule/2022,rowanathletics.com
175,RPI,Engineers,"Troy, NY",LL,2,Turf,6198,Rensselaer,http://www.rpiathletics.com//sports/football/schedule/2021,http://www.rpiathletics.com//sports/football/schedule/2022,rpiathletics.com
176,Salisbury,Sea Gulls,"Salisbury, MD",NJAC,2,Turf,7081,Salisbury,http://www.suseagulls.com/sports/football/schedule/2021,http://www.suseagulls.com/sports/football/schedule/2022,suseagulls.com
177,Salve Regina,Seahawks,"Newport, RI",CCC,1,Turf,2085,Salve Regina,http://www.salveathletics.com/sports/fball/2021-22/schedule,http://www.salveathletics.com/sports/fball/2022-23/schedule,salveathletics.com
178,Sewanee,Tigers,"Sewanee, TN",SAA,3,Turf,1669,Sewanee,http://www.sewaneetigers.com//sports/football/schedule/2021,http://www.sewaneetigers.com//sports/football/schedule/2022,sewaneetigers.com
179,Shenandoah,Hornets,"Winchester, VA",ODAC,3,Turf,1989,Shenandoah Hornets,http://www.suhornets.com/sports/football/schedule/2021,http://www.suhornets.com/sports/football/schedule/2022,suhornets.com
180,Simpson,Storm,"Indianola, IA",ARC,5,Turf,1159,Simpson,http://simpsonathletics.com/sports/fball/2021-22/schedule,http://simpsonathletics.com/sports/fball/2022-23/schedule,simpsonathletics.com
181,Southern Virginia,Knights,"Buena Vista, VA",USAC,3,Turf,1016,Southern Virginia,https://knightathletics.com/sports/football/schedule/2021-22,https://knightathletics.com/sports/football/schedule/2022-23,knightathletics.com
182,Southwestern,Pirates,"Georgetown, TX",ASC,3,Turf,1495,Southwestern,http://southwesternpirates.com/sports/m-footbl/2021-22/schedule,http://southwesternpirates.com/sports/m-footbl/2022-23/schedule,southwesternpirates.com
183,Springfield,Pride,"Springfield, MA",NEWMAC,1,Turf,2139,Springfield,http://springfieldcollegepride.com/sports/fball/2021-22/schedule,http://springfieldcollegepride.com/sports/fball/2022-23/schedule,springfieldcollegepride.com
184,St. John Fisher,Cardinals,"Pittsford, NY",E8,2,Turf,2535,St. John Fisher,http://athletics.sjfc.edu//sports/football/schedule/2021,http://athletics.sjfc.edu//sports/football/schedule/2022,athletics.sjfc.edu
185,St. John's,Johnnies,"Collegeville, MN",MIAC,6,Turf,1877,Saint John's Univ.,https://gojohnnies.com/sports/football/schedule/2021,https://gojohnnies.com/sports/football/schedule/2022,gojohnnies.com
186,St. Lawrence,Saints,"Canton, NY",LL,2,Grass,2359,St. Lawrence,http://saintsathletics.com/sports/football/schedule/2021,http://saintsathletics.com/sports/football/schedule/2022,saintsathletics.com
187,St. Norbert,Green Knights,"De Pere, WI",NACC,5,Turf,1956,St. Norbert College,http://athletics.snc.edu//sports/football/schedule/2021,http://athletics.snc.edu//sports/football/schedule/2022,athletics.snc.edu
188,St. Olaf,Oles,"Northfield, MN",MIAC,6,Turf,3030,St. Olaf,http://athletics.stolaf.edu//sports/football/schedule/2021,http://athletics.stolaf.edu//sports/football/schedule/2022,athletics.stolaf.edu
189,St. Scholastica,Saints,"Duluth, MN",MIAC,6,Turf,2058,St. Scholastica,http://csssaints.com/sports/football/schedule/2021,http://csssaints.com/sports/football/schedule/2022,csssaints.com
190,St. Vincent,Bearcats,"Latrobe, PA",PAC,2,Grass,1483,St. Vincent,http://athletics.stvincent.edu/sports/football/schedule/2021,http://athletics.stvincent.edu/sports/football/schedule/2022,athletics.stvincent.edu
191,Stevenson,Mustangs,"Stevenson, MD",MAC,1,Turf,2724,Stevenson,http://gomustangsports.com/sports/fball/2021-22/schedule,http://gomustangsports.com/sports/fball/2022-23/schedule,gomustangsports.com
192,Sul Ross State,Lobos,"Alpine, TX",ASC,3,Turf,1179,Sul Ross St.,http://www.srlobos.com//sports/football/schedule/2021,http://www.srlobos.com//sports/football/schedule/2022,srlobos.com
193,SUNY-Maritime,Privateers,"Throggs Neck, NY",ECFC,1,Turf,1465,Maritime College,http://maritimeathletics.com//sports/football/schedule/2021,http://maritimeathletics.com//sports/football/schedule/2022,maritimeathletics.com
194,Susquehanna,River Hawks,"Selinsgrove, PA",CC,2,Turf,2291,Susquehanna,http://suriverhawks.com/sports/football/schedule/2021,http://suriverhawks.com/sports/football/schedule/2022,suriverhawks.com
195,TCNJ,Lions,"Ewing, NJ",NJAC,2,Turf,6598,TCNJ,http://www.tcnjathletics.com//sports/football/schedule/2021,http://www.tcnjathletics.com//sports/football/schedule/2022,tcnjathletics.com
196,Texas Lutheran,Bulldogs,"Seguin, TX",ASC,3,Turf,1379,Texas Lutheran,http://www.tlubulldogs.com/sports/fball/2021-22/schedule,http://www.tlubulldogs.com/sports/fball/2022-23/schedule,tlubulldogs.com
197,Thiel,Tomcats,"Greenville, PA",PAC,2,Turf,689,Thiel,http://www.thielathletics.com//sports/football/schedule/2021,http://www.thielathletics.com//sports/football/schedule/2022,thielathletics.com
198,Trine,Thunder,"Angola, IN",MIAA,4,Turf,2087,Trine,http://trinethunder.com/sports/fball/2021-22/schedule,http://trinethunder.com/sports/fball/2022-23/schedule,trinethunder.com
199,Trinity (Conn.),Bantams,"Hartford, CT",NESCAC,1,Turf,2109,Trinity (CT),https://bantamsports.com//sports/football/schedule/2021,https://bantamsports.com//sports/football/schedule/2022,bantamsports.com
200,Trinity (Texas),Tigers,"San Antonio, TX",SAA,3,Turf,2397,Trinity University,http://www.trinitytigers.com/sports/fball/2021-22/schedule,http://www.trinitytigers.com/sports/fball/2022-23/schedule,trinitytigers.com
201,Tufts,Jumbos,"Medford, MA",NESCAC,1,Turf,5938,Tufts,https://tufts.prestosports.com/sports/fball/2021-22/schedule,https://tufts.prestosports.com/sports/fball/2022-23/schedule,tufts.prestosports.com
202,Union,Dutchmen,"Schenectady, NY",LL,2,Turf,2157,Union (NY),http://www.unionathletics.com//sports/football/schedule/2021,http://www.unionathletics.com//sports/football/schedule/2022,unionathletics.com
203,University of New England,Nor'easters,"Biddeford, ME",CCC,1,Turf,2409,U New England,https://athletics.une.edu/sports/football/schedule/2021,https://athletics.une.edu/sports/football/schedule/2022,athletics.une.edu
204,Ursinus,Bears,"Collegeville, PA",CC,2,Turf,1454,Ursinus,http://www.ursinusathletics.com/sports/football/schedule/2021,http://www.ursinusathletics.com/sports/football/schedule/2022,ursinusathletics.com
205,Utica,Pioneers,"Utica, NY",E8,2,Turf,2810,Utica College,http://www.ucpioneers.com/sports/football/schedule/2021,http://www.ucpioneers.com/sports/football/schedule/2022,ucpioneers.com
206,UW-Eau Claire,Blugolds,"Eau Claire, WI",WIAC,6,Turf,9743,UW-Eau Claire,http://blugolds.com/sports/fball/2021-22/schedule,http://blugolds.com/sports/fball/2022-23/schedule,blugolds.com
207,UW-La Crosse,Eagles,"La Crosse, WI",WIAC,6,Turf,9055,UW-La Crosse,http://www.uwlathletics.com//sports/football/schedule/2021,http://www.uwlathletics.com//sports/football/schedule/2022,uwlathletics.com
208,UW-Oshkosh,Titans,"Oshkosh, WI",WIAC,6,Turf,8438,UW-Oshkosh,https://uwoshkoshtitans.com/sports/fball/2021-22/schedule,https://uwoshkoshtitans.com/sports/fball/2022-23/schedule,uwoshkoshtitans.com
209,UW-Platteville,Pioneers,"Platteville, WI",WIAC,6,Turf,6457,Wis.-Platteville,https://letsgopioneers.com/sports/fball/2021-22/schedule,https://letsgopioneers.com/sports/fball/2022-23/schedule,letsgopioneers.com
210,UW-River Falls,Falcons,"River Falls, WI",WIAC,6,Turf,4991,UW-River Falls,http://www.uwrfsports.com//sports/football/schedule/2021,http://www.uwrfsports.com//sports/football/schedule/2022,uwrfsports.com
211,UW-Stevens Point,Pointers,"Stevens Point, WI",WIAC,6,Turf,8332,UW-Stevens Point,http://athletics.uwsp.edu//sports/football/schedule/2021,http://athletics.uwsp.edu//sports/football/schedule/2022,athletics.uwsp.edu
212,UW-Stout,Blue Devils,"Menomonie, WI",WIAC,6,Turf,6825,UW-Stout,http://athletics.uwstout.edu//sports/football/schedule/2021,http://athletics.uwstout.edu//sports/football/schedule/2022,athletics.uwstout.edu
213,UW-Whitewater,Warhawks,"Whitewater, WI",WIAC,6,Turf,9488,Wis.-Whitewater,http://www.uwwsports.com/sports/football/schedule/2021,http://www.uwwsports.com/sports/football/schedule/2022,uwwsports.com
214,Wabash,Little Giants,"Crawfordsville, IN",NCAC,4,Turf,868,Wabash College,http://sports.wabash.edu/sports/football/schedule/2021,http://sports.wabash.edu/sports/football/schedule/2022,sports.wabash.edu
215,Wartburg,Knights,"Waverly, IA",ARC,5,Turf,1461,Wartburg,https://go-knights.net/sports/football/schedule/2021,https://go-knights.net/sports/football/schedule/2022,go-knights.net
216,Washington and Jefferson,Presidents,"Washington, PA",PAC,2,Turf,1243,Wash. & Jeff.,http://gopresidents.com//sports/football/schedule/2021,http://gopresidents.com//sports/football/schedule/2022,gopresidents.com
217,Washington and Lee,Generals,"Lexington, VA",ODAC,3,Turf,1843,Wash. & Lee,http://www.generalssports.com/sports/football/schedule/2021,http://www.generalssports.com/sports/football/schedule/2022,generalssports.com
218,Washington U.,Bears,"St. Louis, MO",CCIW,5,Turf,7092,WashU,http://bearsports.wustl.edu/sports/fball/2021-22/schedule,http://bearsports.wustl.edu/sports/fball/2022-23/schedule,bearsports.wustl.edu
219,Waynesburg,Yellow Jackets,"Waynesburg, PA",PAC,2,Turf,1239,Waynesburg,http://www.waynesburgsports.com//sports/football/schedule/2021,http://www.waynesburgsports.com//sports/football/schedule/2022,waynesburgsports.com
220,Wesleyan,Cardinals,"Middletown, CT",NESCAC,1,Grass,2930,Wesleyan (Conn.),http://athletics.wesleyan.edu/sports/football/schedule/2021,http://athletics.wesleyan.edu/sports/football/schedule/2022,athletics.wesleyan.edu
221,Western Connecticut,Colonials,"Danbury, CT",MASCAC,1,Turf,4072,WestConn,https://westconnathletics.com/sports/football/schedule/2021-22,https://westconnathletics.com/sports/football/schedule/2022-23,westconnathletics.com
222,Western New England,Golden Bears,"Springfield, MA",CCC,1,Turf,2580,Western New Eng.,http://wnegoldenbears.com/sports/fball/2021-22/schedule,http://wnegoldenbears.com/sports/fball/2022-23/schedule,wnegoldenbears.com
223,Westfield State,Owls,"Westfield, MA",MASCAC,1,Turf,4239,Westfield St.,http://www.westfieldstateowls.com//sports/fball/2021-22/schedule,http://www.westfieldstateowls.com//sports/fball/2022-23/schedule,westfieldstateowls.com
224,Westminster (Mo.),Blue Jays,"Fulton, MO",UMAC,6,Turf,632,Westminster,http://www.wcbluejays.com/sports/fball/2021-22/schedule,http://www.wcbluejays.com/sports/fball/2022-23/schedule,wcbluejays.com
225,Westminster (Pa.),Titans,"New Wilmington, PA",PAC,2,Turf,1107,Westminster (PA),http://athletics.westminster.edu/sports/football/schedule/2021,http://athletics.westminster.edu/sports/football/schedule/2022,athletics.westminster.edu
226,Wheaton (Ill.),Thunder,"Wheaton, IL",CCIW,5,Turf,2325,Wheaton (IL),http://athletics.wheaton.edu//sports/football/schedule/2021,http://athletics.wheaton.edu//sports/football/schedule/2022,athletics.wheaton.edu
227,Whittier,Poets,"Whittier, CA",SCIAC,6,Turf,1746,Whittier,http://www.wcpoets.com//sports/fball/2021-22/schedule,http://www.wcpoets.com//sports/fball/2022-23/schedule,wcpoets.com
228,Whitworth,Pirates,"Spokane, WA",NWC,6,Turf,2353,Whitworth,http://www.whitworthpirates.com/sports/football/schedule/2021,http://www.whitworthpirates.com/sports/football/schedule/2022,whitworthpirates.com
229,Widener,Pride,"Chester, PA",MAC,1,Turf,2767,Widener,http://www.widenerpride.com//sports/football/schedule/2021,http://www.widenerpride.com//sports/football/schedule/2022,widenerpride.com
230,Wilkes,Colonels,"Wilkes-Barre, PA",MAC,1,Turf,2082,Wilkes University,http://www.gowilkesu.com//sports/football/schedule/2021,http://www.gowilkesu.com//sports/football/schedule/2022,gowilkesu.com
231,Willamette,Bearcats,"Salem, OR",NWC,6,Turf,1456,Willamette,http://wubearcats.com//sports/fball/2021-22/schedule,http://wubearcats.com//sports/fball/2022-23/schedule,wubearcats.com
232,William Paterson,Pioneers,"Wayne, NJ",NJAC,2,Turf,7155,William Paterson,http://www.wpupioneers.com/sports/football/schedule/2021,http://www.wpupioneers.com/sports/football/schedule/2022,wpupioneers.com
233,Williams,Ephs,"Williamstown, MA",NESCAC,1,Turf,2028,Williams,https://ephsports.williams.edu/sports/football/schedule/2021,https://ephsports.williams.edu/sports/football/schedule/2022,ephsports.williams.edu
234,Wilmington,Quakers,"Wilmington, OH",OAC,4,Turf,1192,Wilmington,http://www.wilmingtonquakers.com/sports/fball/2021-22/schedule,http://www.wilmingtonquakers.com/sports/fball/2022-23/schedule,wilmingtonquakers.com
235,Wisconsin Lutheran,Warriors,"Milwaukee, WI",NACC,5,Turf,915,Wisconsin Lutheran,http://wlcsports.com//sports/football/schedule/2021,http://wlcsports.com//sports/football/schedule/2022,wlcsports.com
236,Wittenberg,Tigers,"Springfield, OH",NCAC,4,Turf,1492,Wittenberg,http://www.wittenbergtigers.com/sports/fball/2021-22/schedule,http://www.wittenbergtigers.com/sports/fball/2022-23/schedule,wittenbergtigers.com
237,Wooster,Scots,"Wooster, OH",NCAC,4,Turf,1934,Wooster,http://www.woosterathletics.com/sports/fball/2021-22/schedule,http://www.woosterathletics.com/sports/fball/2022-23/schedule,woosterathletics.com
238,Worcester State,Lancers,"Worcester, MA",MASCAC,1,Turf,4069,Worcester St.,http://wsulancers.com/sports/fball/2021-22/schedule,http://wsulancers.com/sports/fball/2022-23/schedule,wsulancers.com
239,WPI,Engineers,"Worcester, MA",NEWMAC,1,Turf,4578,WPI,http://athletics.wpi.edu/sports/fball/2021-22/schedule,http://athletics.wpi.edu/sports/fball/2022-23/schedule,athletics.wpi.edu
