PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,FIELD ZONE,PLAY TYPE,RESULT,GN/LS,RUSHER PBP,PASSER PBP,PASS RESULT,PASS TARGET PBP,BROKEN UP BY PBP,INTERCEPTED BY PBP,HURRIED BY PBP,TACKLER1 PBP,TACKLER2 PBP,FUMBLE,FUMBLED BY PBP,FORCED BY PBP,RECOVER TEAM,RECOVERED BY PBP,RETURNER PBP,RETURN YDS,RETURN TO,KICKER PBP,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER PBP,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY PBP,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
132,North Park,D,NPU,4,,9.0,4.0,3.0,10.0,-17.0,Coming Out,Pass,Incomplete,0.0,,Hunter Hughes,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,08:16,496,0,14,13,3,2,3,,,,,,,
133,North Park,K,NPU,4,,,,4.0,10.0,-17.0,Coming Out,Punt Rec,Fair Catch,,,,,,,,,,,,,,,,,,,,,,,,,35.0,48.0,Fair Catch,,,,,,,,,,,,,,08:16,496,0,14,13,3,2,3,,,,,,,
134,North Park,O,MILLIKIN,4,,9.0,1.0,0.0,10.0,-48.0,Go Zone,Run,Rush,8.0,,,,,,,,Landrau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:35,455,14,0,13,3,3,2,,,,,,,
135,North Park,O,MILLIKIN,4,,9.0,2.0,2.0,2.0,44.0,Go Zone,Run,Rush,1.0,,,,,,,,Spencer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:35,455,14,0,13,3,3,2,,,,,,,
136,North Park,,MILLIKIN,4,,,,3.0,1.0,43.0,Go Zone,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MILLIKIN,,,,,,,07:35,455,14,0,13,3,3,2,,,,,,,
137,North Park,O,MILLIKIN,4,,9.0,3.0,3.0,1.0,43.0,Go Zone,Pass,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:21,381,14,0,13,2,2,2,,,,,,,
138,North Park,D,NPU,4,,10.0,1.0,0.0,10.0,-10.0,Backed Up,Pass,Complete,12.0,,Hunter Hughes,Complete,,,,,Harrell,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,06:17,377,0,14,13,2,2,2,,,,,,,
139,North Park,D,NPU,4,,10.0,2.0,1.0,10.0,-22.0,Coming Out,Pass,Complete,7.0,,Hunter Hughes,Complete,,,,,Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:17,377,0,14,13,2,2,2,,,,,,,
140,North Park,D,NPU,4,,10.0,3.0,2.0,3.0,-29.0,Gold Zone,Pass,Incomplete,0.0,,Hunter Hughes,Incomplete,,,,,Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:17,377,0,14,13,2,2,2,,,,,,,
141,North Park,D,NPU,4,,10.0,4.0,3.0,3.0,-29.0,Gold Zone,Run,Rush,1.0,Hunter Hughes,,,,,,,A. Perkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:17,377,0,14,13,2,2,2,,,,,,,
142,North Park,D,NPU,4,,10.0,5.0,4.0,2.0,-30.0,Gold Zone,Run,Rush,1.0,,,,,,,,TEAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Downs,06:17,377,0,14,13,2,2,2,,,,,,,
143,North Park,O,MILLIKIN,4,,10.0,1.0,0.0,10.0,31.0,Take A Shot,Run,Rush,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:20,260,14,0,13,2,2,2,,,,,,,
144,North Park,O,MILLIKIN,4,,10.0,2.0,2.0,4.0,25.0,Take A Shot,Run,Rush,21.0,,,,,,,,Jaydin Miller,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,04:20,260,14,0,13,2,2,2,,,,,,,
145,North Park,O,MILLIKIN,4,,10.0,3.0,1.0,4.0,4.0,Red Zone Low,Run,Rush,-2.0,,,,,,,,Jaydin Miller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:20,260,14,0,13,2,2,2,,,,,,,
146,North Park,O,MILLIKIN,4,,10.0,4.0,2.0,6.0,6.0,Red Zone,Run,Rush,1.0,,,,,,,,Landrau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:20,260,14,0,13,2,2,2,,,,,,,
147,North Park,,MILLIKIN,4,,,,3.0,5.0,5.0,Red Zone Low,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North Park,,,,,,,04:20,260,14,0,13,2,2,2,,,,,,,
148,North Park,O,MILLIKIN,4,,10.0,5.0,3.0,5.0,5.0,Red Zone Low,Run,Rush,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,02:10,130,14,0,13,2,2,1,,,,,,,
149,North Park,K,MILLIKIN,4,,,,1.0,3.0,3.0,Red Zone Low,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,,,,,,,,02:01,121,20,0,20,2,2,1,,,,,,,
150,North Park,K,MILLIKIN,4,,,,1.0,-35.0,-35.0,Gold Zone,KO,Out of bounds,,,,,,,,,,,,,,,,,,,,26.0,39.0,Out of bounds,,,,,,,,,,,,,,,True,,,,02:01,121,21,0,21,2,2,1,illegal kicking,MILLIKIN,,,,,30.0
151,North Park,D,NPU,4,,11.0,1.0,0.0,10.0,-35.0,Gold Zone,Pass,Complete,6.0,,Hunter Hughes,Complete,,,,,Teicher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02:01,121,0,21,21,2,1,2,,,,,,,
152,North Park,D,NPU,4,,11.0,2.0,2.0,4.0,-41.0,Gold Zone,Pass,Complete,7.0,,Hunter Hughes,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,02:01,121,0,21,21,2,1,2,,,,,,,
153,North Park,D,NPU,4,,11.0,3.0,1.0,10.0,-48.0,Go Zone,Pass,Complete,9.0,,Hunter Hughes,Complete,,,,,E. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02:01,121,0,21,21,2,1,2,,,,,,,
154,North Park,D,NPU,4,,11.0,4.0,2.0,1.0,43.0,Go Zone,Pass,Incomplete,0.0,,Hunter Hughes,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02:01,121,0,21,21,2,1,2,,,,,,,
155,North Park,D,NPU,4,,11.0,5.0,3.0,1.0,43.0,Go Zone,Run,Rush,4.0,,,,,,,,Q. Miller,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,02:01,121,0,21,21,2,1,2,,,,,,,
156,North Park,D,NPU,4,,11.0,6.0,1.0,10.0,39.0,Go Zone,Pass,Incomplete,0.0,,Hunter Hughes,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02:01,121,0,21,21,2,1,2,,,,,,,
157,North Park,D,NPU,4,,11.0,7.0,2.0,10.0,39.0,Go Zone,Pass,Sack,-3.0,,Hunter Hughes,Sack,,,,,Montgomery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02:01,121,0,21,21,2,1,2,,,,,,,
158,North Park,D,NPU,4,,11.0,8.0,3.0,13.0,42.0,Go Zone,Pass,Sack,-9.0,,,Sack,,,,,E. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Game,02:01,121,0,21,21,2,1,2,,,,,,,
