jersey_number,first_name,last_name,height,weight,hometown,team,season_position,current_class
79,Jeffrey,Persi,607,305,"Mission Viejo, CA, US",Michigan,G,S
80,Hunter,Neff,602,237,"Chelsea, MI, US",Michigan,TE,J
83,Erick,All,604,245,"Fairfield, OH, US",Michigan,TE,J
84,Sam,Staruch,601,180,"Lake Orion, MI, US",Michigan,WR,S
84,Joel,Honigford,606,257,"Sugarcreek, OH, US",Michigan,TE,RSN
86,Luke,Schoonmaker,605,250,"Hamden, CT, US",Michigan,TE,SN
88,Matthew,Hibner,604,244,"Burke, VA, US",Michigan,TE,S
89,Carter,Selzer,608,242,"Kansas City, MO, US",Michigan,TE,RSN
D10,Anthony,Solomon,601,215,"Fort Lauderdale, FL, US",Michigan,LB,J
D12,Josh,Ross,602,224,"Southfield, MI, US",Michigan,LB,G
D13,Eamonn,Dennis,510,175,"Worcester, MA, US",Michigan,CB,S
D16,Jalen,Perry,600,187,"Dacula, GA, US",Michigan,CB,J
D17,Braiden,McGregor,605,265,"Port Huron, MI, US",Michigan,ED,S
D18,Keshaun,Harris,511,186,"Lansing, MI, US",Michigan,S,J
D2,Brad,Hawkins,601,221,"Camden, NJ, US",Michigan,S,G
D20,Kalel,Mullings,601,236,"West Roxbury, MA, US",Michigan,LB,S
D22,Gemon,Green,602,181,"DeSoto, TX, US",Michigan,CB,SN
D23,Michael,Barrett,600,227,"Valdosta, GA, US",Michigan,LB,SN
D24,George,Johnson,600,186,"Stuart, FL, US",Michigan,CB,J
D28,Darion,Green-Warren,600,173,"Torrance, CA, US",Michigan,CB,S
D29,Joey,Velazquez,600,228,"Columbus, OH, US",Michigan,LB,J
D30,Daxton,Hill,600,192,"Tulsa, OK, US",Michigan,CB,J
D31,Jordan,Morant,600,210,"Parsippany, NJ, US",Michigan,CB,S
D32,Jaylen,Harrell,604,242,"Tampa, FL, US",Michigan,ED,S
D32,Nolan,Knight,603,215,"Northville, MI, US",Michigan,LB,J
D33,German,Green,602,190,"DeSoto, TX, US",Michigan,CB,SN
D35,Caden,Kolesar,510,196,"Westlake, OH, US",Michigan,S,J
D36,Andre,Seldon,508,173,"Belleville, MI, US",Michigan,S,S
D4,Vincent,Gray,602,192,"Rochester, MI, US",Michigan,CB,SN
D44,Joshua,Luther,509,184,"Clarkston, MI, US",Michigan,S,J
D5,DJ,Turner,600,181,"Suwanee, GA, US",Michigan,S,J
D50,Jerome,Nichols,600,224,"Belleville, MI, US",Michigan,LB,S
D57,Joey,George,600,262,"Walled Lake, MI, US",Michigan,DI,SN
D58,Mazi,Smith,603,326,"Grand Rapids, MI, US",Michigan,DI,J
D6,R.J.,Moten,600,221,"Delran, NJ, US",Michigan,S,S
D67,Jess,Speight,605,310,"Richmond, VA, US",Michigan,DI,G
D7,Makari,Paige,603,192,"West Bloomfield, MI, US",Michigan,S,S
D70,Jack,Stewart,604,314,"New Canaan, CT, US",Michigan,ED,J
D72,Elijah,Pierre,601,272,"Rockland, MA, US",Michigan,ED,G
D90,Mike,Morris,606,278,"Belle Glade, FL, US",Michigan,ED,J
D91,Taylor,Upshaw,604,262,"Bradenton, FL, US",Michigan,ED,G
D94,Kris,Jenkins,603,275,"Olney, MD, US",Michigan,DI,S
D95,Donovan,Jeter,603,325,"Beaver Falls, PA, US",Michigan,DI,G
D97,Aidan,Hutchinson,606,265,"Plymouth, MI, US",Michigan,ED,SN
S13,Jake,Moody,600,211,"Northville, MI, US",Michigan,K,SN
S45,Greg,Tarr,602,207,"Washington, MI, US",Michigan,LS,S
S49,William,Wagner,601,247,"Alpharetta, GA, US",Michigan,LS,J
S91,Brad,Robbins,601,203,"Westerville, OH, US",Michigan,P,G
S93,Cole,Hussung,509,194,"Floyds Knobs, IN, US",Michigan,K,S
88,Mathew,Harrison,602,205,"Ortonville, MI, US",Michigan,WR,J
S29,Rhett,Andersen,600,172,"Poquoson, VA, US",Michigan,K,G
1,Andrel,Anthony,602,185,"East Lansing, MI, US",Michigan,WR,F
7,Donovan,Edwards,600,202,"West Bloomfield, MI, US",Michigan,HB,F
9,J.J.,McCarthy,603,197,"La Grange Park, IL, US",Michigan,QB,F
10,Cristian,Dixon,602,197,"Santa Ana, CA, US",Michigan,WR,F
18,Jesse,Madden,602,198,"Oakland, CA, US",Michigan,QB,F
38,Peyton,O'Leary,604,190,"Byfield, MA, US",Michigan,WR,F
40,Jake,Friedman,602,200,"Oak Park, CA, US",Michigan,WR,F
45,Noah,Howes,605,234,"Rochester, MI, US",Michigan,TE,F
51,Greg,Crippen,604,290,"Northborough, MA, US",Michigan,G,F
58,Giovanni,El-Hadi,605,318,"Sterling Heights, MI, US",Michigan,G,F
62,Raheem,Anderson,603,302,"Detroit, MI, US",Michigan,T,F
72,Tristan,Bounds,608,282,"Wallingford, CT, US",Michigan,C,F
75,Peter,Simmons,603,291,"Bonita Springs, FL, US",Michigan,C,F
81,Louis,Hansen,606,252,"Needham, MA, US",Michigan,TE,F
82,Max,Bredeson,602,222,"Hartland, WI, US",Michigan,TE,F
D1,Ja'Den,McBurrows,511,197,"Fort Lauderdale, FL, US",Michigan,CB,F
D19,Rod,Moore,600,173,"Clayton, OH, US",Michigan,CB,F
D26,Rayshaun,Benny,605,292,"Detroit, MI, US",Michigan,DI,F
D27,Tyler,McLaurin,603,237,"Bolingbrook, IL, US",Michigan,LB,F
D34,Jaydon,Hood,601,212,"Fort Lauderdale, FL, US",Michigan,LB,F
D38,Joe,Taylor,510,184,"Chelsea, MI, US",Michigan,S,F
D40,Christian,Boivin,600,204,"Traverse City, MI, US",Michigan,S,F
D42,TJ,Guy,605,251,"Mansfield, MA, US",Michigan,ED,F
D46,Alexander,Lidback,603,223,"Alpharetta, GA, US",Michigan,LB,F
D52,Kechaun,Bennett,605,241,"Suffield, CT, US",Michigan,ED,F
D54,George,Rooks,605,270,"Jersey City, NJ, US",Michigan,DI,F
D56,Dominick,Giudice,605,275,"Freehold, NJ, US",Michigan,ED,F
D92,Ike,Iwunnah,603,306,"Garland, TX, US",Michigan,ED,F
S19,Tommy,Doman,605,190,"Rochester Hills, MI, US",Michigan,K,F
