PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
46,Gettysburg,D,GC,2,,4.0,8.0,3.0,11.0,-16.0,Pass,Incomplete,0.0,,Logan Clouse,Incomplete,Jack O'Hearen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,15:00,900,0,21,1,3,3,3,illegal block,FMC,Logan Dallas,,,,15.0
47,Gettysburg,,GC,2,,,,3.0,26.0,-31.0,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Franklin & Marsh,,,,,,15:00,900,0,21,1,3,3,3,,,,,,,
48,Gettysburg,D,GC,2,,4.0,9.0,3.0,26.0,-31.0,Pass,Complete,7.0,,Logan Clouse,Complete,Jack O'Hearen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:56,836,0,21,1,2,3,2,,,,,,,
49,Gettysburg,,GC,2,,,,4.0,19.0,-24.0,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Franklin & Marsh,,,,,,13:56,836,0,21,1,2,3,2,,,,,,,
50,Gettysburg,D,GC,2,,4.0,10.0,4.0,19.0,-24.0,Pass,Complete,24.0,,Logan Clouse,Complete,Drew Benfatti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,TD,13:06,786,0,21,1,1,3,1,,,,,,,
51,Gettysburg,K,GC,2,,,,,,,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,Laurence Miller,,,Good,,,,,,,,12:58,778,6,21,15,1,3,1,,,,,,,
52,Gettysburg,K,GC,2,,,,,,,KO Ret,,,,,,,,,,,,,,,,,,,,Jack Rodenberge,65.0,0.0,,,,,,,,,,,,,,,,,12:58,778,0,28,14,1,3,1,,,,,,,
53,Gettysburg,O,FMC,2,,4.0,1.0,0.0,10.0,25.0,Pass,Sack,-1.0,,Logan Edmond,Sack,,,,,Kevonte Beard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:58,778,28,0,14,1,1,3,,,,,,,
54,Gettysburg,,FMC,2,,,,2.0,11.0,24.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:58,778,28,0,14,1,1,3,false start,GC,Jacob Kezmarsky,,,,5.0
55,Gettysburg,O,FMC,2,,4.0,2.0,2.0,16.0,19.0,Run,Rush,0.0,Chris Vass,,,,,,,Dan DiBeneditto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:58,778,28,0,14,1,1,3,,,,,,,
56,Gettysburg,O,FMC,2,,4.0,3.0,3.0,16.0,19.0,Run,Rush,1.0,Logan Edmond,,,,,,,Peyton Snopek,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,12:58,778,28,0,14,1,1,3,,,,,,,
57,Gettysburg,K,FMC,2,,,,4.0,15.0,20.0,Punt,,,,,,,,,,Chris Vass,,,,,,,Dan DiBeneditto,10,-40.0,,,,,Doug Cummings,50.0,-30.0,,,,,,,,,,,,,12:58,778,28,0,14,1,1,3,,,,,,,
58,Gettysburg,D,GC,2,,5.0,1.0,0.0,10.0,40.0,Run,Rush,20.0,Jermaine Conyer,,,,,,,Justin Adedinse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:46,646,0,28,14,1,3,1,,,,,,,
59,Gettysburg,D,GC,2,,5.0,2.0,1.0,10.0,-40.0,Run,Rush,0.0,Jermaine Conyer,,,,,,,Matt Lynch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:46,646,0,28,14,1,3,1,,,,,,,
60,Gettysburg,D,GC,2,,5.0,3.0,2.0,10.0,-40.0,Run,Rush,-2.0,Jermaine Conyer,,,,,,,Alex Raimondo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:46,646,0,28,14,1,3,1,,,,,,,
61,Gettysburg,D,GC,2,,5.0,4.0,3.0,12.0,-42.0,Run,Rush,9.0,Logan Clouse,,,,,,,Mike Galaida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:46,646,0,28,14,1,3,1,,,,,,,
62,Gettysburg,D,GC,2,,5.0,5.0,4.0,3.0,-33.0,Pass,Complete,3.0,,Logan Clouse,Complete,Drew Benfatti,,,,Von Musgrove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:46,646,0,28,14,1,3,1,,,,,,,
63,Gettysburg,D,GC,2,,5.0,6.0,1.0,10.0,-30.0,Run,Rush,-1.0,Jermaine Conyer,,,,,,,Alex Raimondo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:46,646,0,28,14,1,3,1,,,,,,,
64,Gettysburg,D,GC,2,,5.0,7.0,2.0,11.0,-31.0,Run,Rush,9.0,Jermaine Conyer,,,,,,,Mike Galaida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:46,646,0,28,14,1,3,1,,,,,,,
65,Gettysburg,D,GC,2,,5.0,8.0,3.0,2.0,-22.0,Run,Rush,12.0,Jermaine Conyer,,,,,,,Mike Del grande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:46,646,0,28,14,1,3,1,,,,,,,
66,Gettysburg,D,GC,2,,5.0,9.0,1.0,-10.0,-10.0,Run,Rush,-4.0,Jermaine Conyer,,,,,,,Alex Raimondo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:46,646,0,28,14,1,3,1,,,,,,,
67,Gettysburg,D,GC,2,,5.0,10.0,2.0,-14.0,-14.0,Run,Rush,-2.0,Jermaine Conyer,,,,,,,Mike Galaida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:46,646,0,28,14,1,3,1,,,,,,,
68,Gettysburg,D,GC,2,,5.0,11.0,3.0,-16.0,-16.0,Pass,Incomplete,0.0,,Logan Clouse,Incomplete,Danny Solecki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Missed FG,10:46,646,0,28,14,1,3,1,,,,,,,
69,Gettysburg,K,GC,2,,,,4.0,-16.0,-16.0,FG Block,No Good,,,,,,,,,,,,,,,,,,,,,,,,,,,Laurence Miller,32.0,No Good,,,,,,,,,10:46,646,0,28,14,1,3,1,,,,,,,
70,Gettysburg,O,FMC,2,,5.0,1.0,0.0,10.0,20.0,Run,Rush,-1.0,Sebastian Gibbs,,,,,,,Ben Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03:46,226,28,0,14,1,1,3,,,,,,,
71,Gettysburg,O,FMC,2,,5.0,2.0,2.0,11.0,19.0,Run,Rush,8.0,Logan Edmond,,,,,,,Thomas Downs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03:46,226,28,0,14,1,1,3,,,,,,,
72,Gettysburg,O,FMC,2,,5.0,3.0,3.0,3.0,27.0,Run,Rush,8.0,Chris Vass,,,,,,,Isaiah Chery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03:46,226,28,0,14,1,1,3,,,,,,,
73,Gettysburg,O,FMC,2,,5.0,4.0,1.0,10.0,35.0,Pass,Incomplete,0.0,,Logan Edmond,Incomplete,Sal DeBenedetto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03:46,226,28,0,14,1,1,3,,,,,,,
74,Gettysburg,O,FMC,2,,5.0,5.0,2.0,10.0,35.0,Pass,Complete,3.0,,Logan Edmond,Complete,Matt Lajoie,,,,Thomas Downs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03:46,226,28,0,14,1,1,3,,,,,,,
75,Gettysburg,O,FMC,2,,5.0,6.0,3.0,7.0,38.0,Pass,Complete,62.0,,Logan Edmond,Complete,Andrew Lusardi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,TD,03:46,226,28,0,14,1,1,3,,,,,,,
76,Gettysburg,K,FMC,2,,,,,,,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,Doug Cummings,,,Good,,,,,,,,01:11,71,34,0,34,1,1,3,,,,,,,
77,Gettysburg,K,FMC,2,,,,,,,KO,,,,,,,,,,Benjamin Mapp,,,,,,,Jacob Hille,20,-38.0,Doug Cummings,47.0,-18.0,,,,,,,,,,,,,,,,,01:11,71,28,7,35,1,1,3,,,,,,,
78,Gettysburg,D,GC,2,,6.0,1.0,0.0,10.0,38.0,Run,Rush,1.0,Keshon Farmer,,,,,,,Noah Evans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01:08,68,7,28,35,1,3,1,,,,,,,
79,Gettysburg,D,GC,2,,6.0,2.0,2.0,9.0,39.0,Pass,Complete,11.0,,Logan Clouse,Complete,Jack O'Hearen,,,,Von Musgrove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01:08,68,7,28,35,1,3,1,,,,,,,
80,Gettysburg,D,GC,2,,6.0,3.0,1.0,10.0,50.0,Pass,Incomplete,0.0,,Logan Clouse,Incomplete,Tim Walters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01:08,68,7,28,35,1,3,1,,,,,,,
81,Gettysburg,D,GC,2,,6.0,4.0,2.0,10.0,50.0,Pass,Incomplete,0.0,,Logan Clouse,Incomplete,Ben Moir,,,,Matt Mikulka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01:08,68,7,28,35,1,3,1,,,,,,,
82,Gettysburg,D,GC,2,,6.0,5.0,3.0,10.0,50.0,Pass,Incomplete,0.0,,Logan Clouse,Incomplete,Drew Benfatti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,01:08,68,7,28,35,1,3,1,,,,,,,
83,Gettysburg,K,GC,2,,,,4.0,10.0,50.0,Punt Ret,,,,,,,,,,Matt Scully,,,,,,,Sal DeBenedetto,2,-13.0,,,,,Jack Rodenberge,39.0,-11.0,,,,,,,,,,,,,01:08,68,7,28,35,1,3,1,,,,,,,
84,Gettysburg,O,FMC,2,,6.0,1.0,0.0,10.0,13.0,Run,Rush,3.0,Chris Vass,,,,,,,Dan DiBeneditto,Amare Conley,,,,,,,,,,,,,,,,,,,,,,,,,,,Half,00:16,16,28,7,35,1,1,3,,,,,,,
85,Gettysburg,K,FMC,3,,,,,,,KO,,,,,,,,,,,,,,,,,,,,Jack Rodenberge,65.0,0.0,,,,,,,,,,,,,,,,,15:00,1800,28,7,35,3,3,3,,,,,,,
86,Gettysburg,D,GC,3,,7.0,1.0,0.0,10.0,-25.0,Run,Rush,0.0,Chris Vass,,,,,,,Peyton Snopek,Kell Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,7,28,35,3,3,3,,,,,,,
87,Gettysburg,D,GC,3,,7.0,2.0,2.0,10.0,-25.0,Run,Rush,5.0,Aidan Feulner,,,,,,,Calvin Krippner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,7,28,35,3,3,3,,,,,,,
88,Gettysburg,D,GC,3,,7.0,3.0,3.0,5.0,-30.0,Pass,Complete,19.0,,Logan Edmond,Complete,Mike Vigliano,,,,Thomas Downs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,7,28,35,3,3,3,,,,,,,
89,Gettysburg,D,GC,3,,7.0,4.0,1.0,10.0,-49.0,Run,Rush,-2.0,Aidan Feulner,,,,,,,Kevonte Beard,,True,GC Aidan,,GC,Aidan Feulner,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,7,28,35,3,3,3,,,,,,,
90,Gettysburg,D,GC,3,,7.0,5.0,2.0,12.0,-47.0,Pass,Complete,3.0,,Logan Edmond,Complete,Sal DeBenedetto,,,,Jake Perloski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,7,28,35,3,3,3,,,,,,,
91,Gettysburg,D,GC,3,,7.0,6.0,3.0,15.0,-44.0,Pass,Incomplete,0.0,,Logan Edmond,Incomplete,Mike Vigliano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,15:00,1800,7,28,35,3,3,3,,,,,,,
92,Gettysburg,K,GC,3,,,,4.0,15.0,-44.0,Punt Ret,,,,,,,,,,,,,,,,,,,,,,,,Doug Cummings,40.0,16.0,,,,,,,,,,,,,15:00,1800,7,28,35,3,3,3,,,,,,,
93,Gettysburg,O,FMC,3,,7.0,1.0,0.0,10.0,-16.0,Pass,Complete,36.0,,Ben Moir,Complete,Tim Walters,,,,Von Musgrove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:40,1600,28,7,35,3,3,3,,,,,,,
94,Gettysburg,O,FMC,3,,7.0,2.0,1.0,10.0,48.0,Pass,Complete,4.0,,Logan Clouse,Complete,Jack O'Hearen,,,,Von Musgrove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:40,1600,28,7,35,3,3,3,,,,,,,
95,Gettysburg,O,FMC,3,,7.0,3.0,2.0,6.0,44.0,Run,Rush,-3.0,Jermaine Conyer,,,,,,,Alex Raimondo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:40,1600,28,7,35,3,3,3,,,,,,,
96,Gettysburg,O,FMC,3,,7.0,4.0,3.0,9.0,47.0,Pass,Complete,5.0,,Logan Clouse,Complete,Drew Benfatti,,,,Johnny O'Beirne,Justin Adedinse,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,11:40,1600,28,7,35,3,3,3,,,,,,,
97,Gettysburg,K,FMC,3,,,,4.0,4.0,42.0,Punt,,,,,,,,,,,,,,,,,,,,,,,,Jack Rodenberge,30.0,12.0,,,,,,,,,,,,,11:40,1600,28,7,35,3,3,3,,,,,,,
98,Gettysburg,D,GC,3,,8.0,1.0,0.0,10.0,-12.0,Run,Rush,3.0,Sebastian Gibbs,,,,,,,Kevonte Beard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:54,1434,7,28,35,3,3,3,,,,,,,
99,Gettysburg,D,GC,3,,8.0,2.0,2.0,7.0,-15.0,Run,Rush,1.0,Aidan Feulner,,,,,,,Luke Strauss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:54,1434,7,28,35,3,3,3,,,,,,,
100,Gettysburg,D,GC,3,,8.0,3.0,3.0,6.0,-16.0,Run,Rush,16.0,Logan Edmond,,,,,,,Amare Conley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:54,1434,7,28,35,3,3,3,,,,,,,
101,Gettysburg,D,GC,3,,8.0,4.0,1.0,10.0,-32.0,Run,Rush,-2.0,Sebastian Gibbs,,,,,,,Kevonte Beard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:54,1434,7,28,35,3,3,3,,,,,,,
