PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
43,(RV) Ursinus,O,FMC,2,,3.0,4.0,3.0,9.0,-46.0,Pass,Incomplete,0.0,,Logan Clouse,Incomplete,Jack O'Hearen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,13:18,798,0,7,-7,3,3,3,,,,,,,
44,(RV) Ursinus,K,FMC,2,,,,4.0,9.0,-46.0,Punt,Return,,,,,,,,,Jacob Hille,Derek Zewinski,,,,,,Dash Dulgerian,18,40.0,,,,,J. Rodenberger,32.0,22.0,Return,,,,,,,,,,,,13:18,798,0,7,-7,3,3,3,,,,,,,
45,(RV) Ursinus,D,UC,2,,4.0,1.0,0.0,10.0,-40.0,Run,Rush,-2.0,Jack Psenicska,,,,,,,Kyle Addis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:55,655,7,0,-7,3,3,3,,,,,,,
46,(RV) Ursinus,D,UC,2,,4.0,2.0,2.0,12.0,-38.0,Pass,Incomplete,0.0,,Jack Psenicska,Incomplete,Octavious Carte,,,,Kell Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:55,655,7,0,-7,3,3,3,,,,,,,
47,(RV) Ursinus,D,UC,2,,4.0,3.0,3.0,12.0,-38.0,Pass,Incomplete,0.0,,Jack Psenicska,Incomplete,Octavious Carte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,10:55,655,7,0,-7,3,3,3,,,,,,,
48,(RV) Ursinus,K,UC,2,,,,4.0,12.0,-38.0,Punt Ret,,,,,,,,,,,,,,,,,,,,,,,,Billy Cook,38.0,24.0,,,,,,,,,,,,,10:55,655,7,0,-7,3,3,3,,,,,,,
49,(RV) Ursinus,O,FMC,2,,4.0,1.0,0.0,10.0,-24.0,Run,Rush,2.0,Jermaine Conyer,,,,,,,Anthony Reginel,Brett Gross,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:00,600,0,7,-7,3,3,3,,,,,,,
50,(RV) Ursinus,O,FMC,2,,4.0,2.0,2.0,8.0,-26.0,Pass,Complete,4.0,,Logan Clouse,Complete,Ben Moir,,,,Ryan DiVergilis,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,10:00,600,0,7,-7,3,3,3,,,,,,,
51,(RV) Ursinus,K,FMC,2,,,,3.0,4.0,-30.0,Punt,Return,,,,,,,,,Jacob Hille,,,,,,,Dash Dulgerian,5,33.0,,,,,J. Rodenberger,42.0,28.0,Return,,,,,,,,,,,,10:00,600,0,7,-7,3,3,3,,,,,,,
52,(RV) Ursinus,D,UC,2,,5.0,1.0,0.0,10.0,-33.0,Run,Rush,16.0,Samuel Ragland,,,,,,,Calvin Krippner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:20,500,7,0,-7,3,3,3,illegal block,UC,Octavious Carte,,,,10.0
53,(RV) Ursinus,D,UC,2,,5.0,2.0,1.0,4.0,-39.0,Pass,Incomplete,0.0,,Jack Psenicska,Incomplete,Octavious Carte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,08:20,500,7,0,-7,3,3,3,pass interference,FMC,Dan DiBeneditto,,,,15.0
54,(RV) Ursinus,D,UC,2,,5.0,3.0,1.0,10.0,46.0,Pass,Complete,5.0,,Jack Psenicska,Complete,Billy Cook,,,,Calvin Krippner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:20,500,7,0,-7,3,3,3,,,,,,,
55,(RV) Ursinus,D,UC,2,,5.0,4.0,2.0,5.0,41.0,Run,Rush,6.0,Samuel Ragland,,,,,,,Kevonte Beard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:20,500,7,0,-7,3,3,3,,,,,,,
56,(RV) Ursinus,D,UC,2,,5.0,5.0,1.0,10.0,35.0,Run,Rush,4.0,Samuel Ragland,,,,,,,Luke Strauss,Peyton Snopek,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:20,500,7,0,-7,3,3,3,,,,,,,
57,(RV) Ursinus,D,UC,2,,5.0,6.0,2.0,6.0,31.0,Pass,Incomplete,0.0,,Jack Psenicska,Incomplete,Dash Dulgerian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,08:20,500,7,0,-7,3,3,3,holding,UC,Matthew Bevan,,,,10.0
58,(RV) Ursinus,D,UC,2,,5.0,7.0,2.0,16.0,41.0,Pass,,0.0,,Jack Psenicska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:20,500,7,0,-7,3,3,3,,,,,,,
59,(RV) Ursinus,D,UC,2,,5.0,8.0,3.0,16.0,41.0,Pass,Complete,6.0,,Jack Psenicska,Complete,Samuel Ragland,,,,Calvin Krippner,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,08:20,500,7,0,-7,3,3,3,,,,,,,
60,(RV) Ursinus,K,UC,2,,,,4.0,10.0,35.0,Punt Ret,Return,,,,,,,,,Jeffrey Lockwoo,,,,,,,Dan DiBeneditto,3,11.0,,,,,Billy Cook,27.0,8.0,Return,,,,,,,,,,,,08:20,500,7,0,-7,3,3,3,,,,,,,
61,(RV) Ursinus,O,FMC,2,,5.0,1.0,0.0,10.0,-11.0,Run,Rush,2.0,Keshon Farmer,,,,,,,Jonathan Klee,Brett Gross,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:19,319,0,7,-7,3,3,3,,,,,,,
62,(RV) Ursinus,O,FMC,2,,5.0,2.0,2.0,8.0,-13.0,Pass,Complete,10.0,,Logan Clouse,Complete,Jack O'Hearen,,,,Jonathan Klee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:19,319,0,7,-7,3,3,3,,,,,,,
63,(RV) Ursinus,O,FMC,2,,5.0,3.0,1.0,10.0,-23.0,Run,Rush,4.0,Keshon Farmer,,,,,,,Jack Ginley III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:19,319,0,7,-7,3,3,3,,,,,,,
64,(RV) Ursinus,O,FMC,2,,5.0,4.0,2.0,6.0,-27.0,Run,Rush,2.0,Keshon Farmer,,,,,,,Aaron Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:19,319,0,7,-7,3,3,3,,,,,,,
65,(RV) Ursinus,O,FMC,2,,5.0,5.0,3.0,4.0,-29.0,Run,Rush,2.0,Jermaine Conyer,,,,,,,Brett Gross,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,05:19,319,0,7,-7,3,3,3,,,,,,,
66,(RV) Ursinus,K,FMC,2,,,,4.0,2.0,-31.0,Punt,Fair Catch,,,,,,,,,,,,,,,,,,,,,,,J. Rodenberger,36.0,33.0,Fair Catch,,,,,,,,,,,,05:19,319,0,7,-7,3,3,3,,,,,,,
