PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,FIELD ZONE,PLAY TYPE,RESULT,GN/LS,RUSHER PBP,PASSER PBP,PASS RESULT,PASS TARGET PBP,BROKEN UP BY PBP,INTERCEPTED BY PBP,HURRIED BY PBP,TACKLER1 PBP,TACKLER2 PBP,FUMBLE,FUMBLED BY PBP,FORCED BY PBP,RECOVER TEAM,RECOVERED BY PBP,RETURNER PBP,RETURN YDS,RETURN TO,KICKER PBP,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER PBP,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY PBP,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
158,Neb. Wesleyan,O,War,4,,13.0,4.0,1.0,10.0,,,Pass,Complete,23.0,,Nile McLaughlin,Complete,Thomas Butters,,,,Jacob Garnas,Jacob Gramann,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,09:27,567,43,14,29,3,3,2,,,,,,,
159,Neb. Wesleyan,O,War,4,,13.0,5.0,1.0,10.0,32.0,Take A Shot,Run,Rush,3.0,Austin Griffin,,,,,,,Andrew Ellerbee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:27,567,43,14,29,3,3,2,,,,,,,
160,Neb. Wesleyan,O,War,4,,13.0,6.0,2.0,7.0,29.0,Take A Shot,Run,Rush,7.0,Austin Griffin,,,,,,,Jacob Garnas,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,09:27,567,43,14,29,3,3,2,,,,,,,
161,Neb. Wesleyan,O,War,4,,13.0,7.0,1.0,10.0,22.0,Take A Shot,Run,Rush,15.0,Austin Griffin,,,,,,,Dakota Prorok,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,09:27,567,43,14,29,3,3,2,,,,,,,
162,Neb. Wesleyan,O,War,4,,13.0,8.0,1.0,7.0,7.0,Red Zone,Run,Rush,5.0,Austin Griffin,,,,,,,Jacob Leu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:27,567,43,14,29,3,3,2,,,,,,,
163,Neb. Wesleyan,O,War,4,,13.0,9.0,2.0,2.0,2.0,Red Zone Low,Run,Rush,1.0,Austin Griffin,,,,,,,Jacob Garnas,Kwonzi Woodley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:27,567,43,14,29,3,3,2,,,,,,,
164,Neb. Wesleyan,O,War,4,,13.0,10.0,3.0,1.0,1.0,Red Zone Low,Run,Rush,1.0,BJ White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,09:27,567,43,14,29,3,3,2,,,,,,,
165,Neb. Wesleyan,K,War,4,,,,1.0,3.0,3.0,Red Zone Low,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kain Eagle,,,Good,,,,,,,,,04:03,243,49,14,35,3,3,2,,,,,,,
166,Neb. Wesleyan,,War,4,,,,1.0,10.0,,,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:03,243,50,14,36,3,3,2,UNR: Unnecessary Roughness,NWU,Connor Wilcox,,,,15.0
167,Neb. Wesleyan,K,War,4,,,,1.0,10.0,,,KO,Touchback,,,,,,,,,,,,,,,,,,,Adijan Muhamedagic,50.0,0.0,Touchback,,,,,,,,,,,,,,,,,,,04:03,243,50,14,36,3,3,2,,,,,,,
